algo,constraint,graph,n,m,K,B_factor,B_abs,total_cost,B,eps,ic_seed,ic_mc,ic_lambda,f_value,solution_cost,solution_size,queries,time_sec,mem_mb,C,cumulative_consistency,initial_changes,consistency_queries,consistency_time_sec,atkc_delta,atkc_eps,atkc_chase_cap,atkc_max_scan,atkc_q,atkc_J,atkc_N,atkc_lane_restarts,atkc_successful_exchanges,rkcl_delta_used,rkcl_mu,rkcl_lambda,rkcl_gamma,rkcl_q,rkcl_N,rkcl_chase_cap,rkcl_restarts,rkcl_successful_exchanges,ms_eps,ms_h,ms_max_symdiff,ms_cumulative_symdiff
MultiStream,"B=50, eps=0.1, h=2",fb_cost1020.bin,4039,176468,1,-1,50,60708.930515629763,50,0.10000000000000001,42,50,1.0,512.12,49.990888395089634,4,141430,37.13001447,4.625,0,0,0,0,0,0.10000000000000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000001,2,0,0
MultiStream,"B=60, eps=0.1, h=2",fb_cost1020.bin,4039,176468,1,-1,60,60708.930515629763,60,0.10000000000000001,42,50,1.0,610.03999999999996,57.943951438898146,4,145423,52.84256656,4.5,0,0,0,0,0,0.10000000000000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000001,2,0,0
MultiStream,"B=70, eps=0.1, h=2",fb_cost1020.bin,4039,176468,1,-1,70,60708.930515629763,70,0.10000000000000001,42,50,1.0,664.39999999999998,68.096996816998768,5,141391,52.46624942,4.5,0,0,0,0,0,0.10000000000000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000001,2,0,0
MultiStream,"B=80, eps=0.1, h=2",fb_cost1020.bin,4039,176468,1,-1,80,60708.930515629763,80,0.10000000000000001,42,50,1.0,715.13999999999999,74.783589150213317,5,141398,54.71728867,4.5,0,0,0,0,0,0.10000000000000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000001,2,0,0
MultiStream,"B=90, eps=0.1, h=2",fb_cost1020.bin,4039,176468,1,-1,90,60708.930515629763,90,0.10000000000000001,42,50,1.0,767.17999999999995,84.936634528313931,6,141469,63.58517412,4.63672,0,0,0,0,0,0.10000000000000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000001,2,0,0
MultiStream,"B=100, eps=0.1, h=2",fb_cost1020.bin,4039,176468,1,-1,100,60708.930515629763,100,0.10000000000000001,42,50,1.0,800.77999999999997,99.7967895440365,7,149374,88.35800528,4.5,0,0,0,0,0,0.10000000000000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000001,2,0,0
MultiStream,"B=50, eps=0.1, h=2",fb_cost4860.bin,4039,176468,1,-1,50,218102.97768513786,50,0.10000000000000001,42,50,1.0,215.96000000000001,48.160534581477464,1,21803,2.05016158,4.62891,0,0,0,0,0,0.10000000000000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000001,2,0,0
MultiStream,"B=60, eps=0.1, h=2",fb_cost4860.bin,4039,176468,1,-1,60,218102.97768513786,60,0.10000000000000001,42,50,1.0,215.96000000000001,48.160534581477464,1,129261,13.10127301,4.5,0,0,0,0,0,0.10000000000000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000001,2,0,0
MultiStream,"B=70, eps=0.1, h=2",fb_cost4860.bin,4039,176468,1,-1,70,218102.97768513786,70,0.10000000000000001,42,50,1.0,215.96000000000001,48.160534581477464,1,125223,12.8561292,4.5,0,0,0,0,0,0.10000000000000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000001,2,0,0
MultiStream,"B=80, eps=0.1, h=2",fb_cost4860.bin,4039,176468,1,-1,80,218102.97768513786,80,0.10000000000000001,42,50,1.0,215.96000000000001,48.160534581477464,1,121186,12.41793692,4.5,0,0,0,0,0,0.10000000000000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000001,2,0,0
MultiStream,"B=90, eps=0.1, h=2",fb_cost4860.bin,4039,176468,1,-1,90,218102.97768513786,90,0.10000000000000001,42,50,1.0,215.96000000000001,48.160534581477464,1,113109,12.05960938,4.5,0,0,0,0,0,0.10000000000000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000001,2,0,0
MultiStream,"B=100, eps=0.1, h=2",fb_cost4860.bin,4039,176468,1,-1,100,218102.97768513786,100,0.10000000000000001,42,50,1.0,344.07999999999998,97.726593086624916,2,131857,17.9763533,4.5,0,0,0,0,0,0.10000000000000001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000000000000001,2,0,0
