algo,constraint,graph,n,m,K,B_factor,B_abs,total_cost,B,eps,ic_seed,ic_mc,ic_lambda,f_value,solution_cost,solution_size,queries,time_sec,mem_mb,C,cumulative_consistency,initial_changes,consistency_queries,consistency_time_sec,atkc_delta,atkc_eps,atkc_chase_cap,atkc_max_scan,atkc_q,atkc_J,atkc_N,atkc_lane_restarts,atkc_successful_exchanges,rkcl_delta_used,rkcl_mu,rkcl_lambda,rkcl_gamma,rkcl_q,rkcl_N,rkcl_chase_cap,rkcl_restarts,rkcl_successful_exchanges
RKCL-IM,"B=50, delta=0.1, chase_cap=0",fb_cost1020.bin,4039,176468,1,-1,50,60708.930515629763,50,0.10000000000000001,42,50,1.0,215.96000000000001,12.030612297252638,1,204665,159.6854368,4.375,2,2,1,204665,159.6854368,0.10000000000000001,0.5,0,0,0,0,0,0,0,0.10000000000000001,10,11,1.1000000000000001,10,25,0,2,0
ATKC,"B=50, delta=0.1, eps=0.5",fb_cost1020.bin,4039,176468,1,-1,50,60708.930515629763,50,0.10000000000000001,42,10,1.0,232.69999999999999,12.030612297252638,1,3496999,128.9534439,4.51172,3,38,1,3496999,128.9534439,0.10000000000000001,0.5,10,30,10,8,10,2,8,0,0,0,0,0,0,10,0,0
RKCL-IM,"B=60, delta=0.1, chase_cap=0",fb_cost1020.bin,4039,176468,1,-1,60,60708.930515629763,60,0.10000000000000001,42,50,1.0,215.96000000000001,12.030612297252638,1,204665,155.0535434,4.375,2,2,1,204665,155.0535434,0.10000000000000001,0.5,0,0,0,0,0,0,0,0.10000000000000001,10,11,1.1000000000000001,10,25,0,2,0
ATKC,"B=60, delta=0.1, eps=0.5",fb_cost1020.bin,4039,176468,1,-1,60,60708.930515629763,60,0.10000000000000001,42,10,1.0,232.69999999999999,12.030612297252638,1,3877190,148.6530526,4.51562,4,42,1,3877190,148.6530526,0.10000000000000001,0.5,10,30,10,8,10,2,9,0,0,0,0,0,0,10,0,0
RKCL-IM,"B=70, delta=0.1, chase_cap=0",fb_cost1020.bin,4039,176468,1,-1,70,60708.930515629763,70,0.10000000000000001,42,50,1.0,215.96000000000001,12.030612297252638,1,204665,146.8249984,4.375,2,2,1,204665,146.8249984,0.10000000000000001,0.5,0,0,0,0,0,0,0,0.10000000000000001,10,11,1.1000000000000001,10,25,0,2,0
ATKC,"B=70, delta=0.1, eps=0.5",fb_cost1020.bin,4039,176468,1,-1,70,60708.930515629763,70,0.10000000000000001,42,10,1.0,232.69999999999999,12.030612297252638,1,4118614,167.7959455,4.65625,4,42,1,4118614,167.7959455,0.10000000000000001,0.5,10,30,10,8,10,2,10,0,0,0,0,0,0,10,0,0
RKCL-IM,"B=80, delta=0.1, chase_cap=0",fb_cost1020.bin,4039,176468,1,-1,80,60708.930515629763,80,0.10000000000000001,42,50,1.0,215.96000000000001,12.030612297252638,1,204665,143.1076733,4.25,2,2,1,204665,143.1076733,0.10000000000000001,0.5,0,0,0,0,0,0,0,0.10000000000000001,10,11,1.1000000000000001,10,25,0,2,0
ATKC,"B=80, delta=0.1, eps=0.5",fb_cost1020.bin,4039,176468,1,-1,80,60708.930515629763,80,0.10000000000000001,42,10,1.0,232.69999999999999,12.030612297252638,1,4359786,170.947414,4.51172,4,46,1,4359786,170.947414,0.10000000000000001,0.5,10,30,10,8,10,2,11,0,0,0,0,0,0,10,0,0
RKCL-IM,"B=90, delta=0.1, chase_cap=0",fb_cost1020.bin,4039,176468,1,-1,90,60708.930515629763,90,0.10000000000000001,42,50,1.0,215.96000000000001,12.030612297252638,1,204665,144.1852006,4.25,2,2,1,204665,144.1852006,0.10000000000000001,0.5,0,0,0,0,0,0,0,0.10000000000000001,10,11,1.1000000000000001,10,25,0,2,0
ATKC,"B=90, delta=0.1, eps=0.5",fb_cost1020.bin,4039,176468,1,-1,90,60708.930515629763,90,0.10000000000000001,42,10,1.0,232.69999999999999,12.030612297252638,1,4359780,167.940488,4.50391,4,42,1,4359780,167.940488,0.10000000000000001,0.5,10,30,10,8,10,2,11,0,0,0,0,0,0,10,0,0
RKCL-IM,"B=100, delta=0.1, chase_cap=0",fb_cost1020.bin,4039,176468,1,-1,100,60708.930515629763,100,0.10000000000000001,42,50,1.0,215.96000000000001,12.030612297252638,1,204665,144.2284057,4.25,2,2,1,204665,144.2284057,0.10000000000000001,0.5,0,0,0,0,0,0,0,0.10000000000000001,10,11,1.1000000000000001,10,25,0,2,0
ATKC,"B=100, delta=0.1, eps=0.5",fb_cost1020.bin,4039,176468,1,-1,100,60708.930515629763,100,0.10000000000000001,42,10,1.0,232.69999999999999,12.030612297252638,1,4595772,183.6059902,4.51953,4,42,1,4595772,183.6059902,0.10000000000000001,0.5,10,30,10,8,10,1,11,0,0,0,0,0,0,10,0,0
ATKC,"B=50, delta=0.33, eps=0.5",fb_cost5060.bin,4039,176468,1,-1,50,222142.48140428186,50,0.10000000000000001,42,10,1.0,0,0,0,1,0.027135593,4.37891,0,0,0,1,0.027135593,0.33000000000000002,0.5,10,30,3,5,10,0,0,0,0,0,0,0,0,10,0,0
RKCL-IM,"B=60, delta=0.33, chase_cap=0",fb_cost5060.bin,4039,176468,1,-1,60,222142.48140428186,60,0.10000000000000001,42,50,1.0,215.96000000000001,50.133778817897884,1,204665,142.6763237,4.25,2,2,1,204665,142.6763237,0.33000000000000002,0.5,0,0,0,0,0,0,0,0.33000000000000002,3.0303030303030303,4.0303030303030303,1.3300000000000001,3,4,0,2,0
